
cnae_tronco,cnae_completo,descricao_cnae,grau_risco,fonte
17419,1741-9/01,Fabricação de formulários contínuos,2,NR-4 2023
17419,1741-9/02,"Fabricação de produtos de papel, cartolina, papel-cartão e papelão ondulado para uso comercial e de escritório",2,NR-4 2023
17427,1742-7/01,Fabricação de fraldas descartáveis,2,NR-4 2023
17427,1742-7/02,Fabricação de absorventes higiênicos,2,NR-4 2023
17427,1742-7/99,Fabricação de produtos de papel para uso doméstico e higiênico-sanitário não especificados anteriormente,2,NR-4 2023
17494,1749-4/00,"Fabricação de produtos de pastas celulósicas, papel, cartolina, papel-cartão e papelão ondulado não especificados anteriormente",1,NR-4 2023
18113,1811-3/01,Impressão de jornais,3,NR-4 2023
18113,1811-3/02,"Impressão de livros, revistas e outras publicações periódicas",3,NR-4 2023
18121,1812-1/00,Impressão de material de segurança,3,NR-4 2023
18130,1813-0/01,Impressão de material para uso publicitário,2,NR-4 2023
18130,1813-0/99,Impressão de material para outros usos,2,NR-4 2023
18211,1821-1/00,Serviços de pré-impressão,3,NR-4 2023
18229,1822-9/01,Serviços de encadernação e plastificação,3,NR-4 2023
18229,1822-9/99,"Serviços de acabamentos gráficos, exceto encadernação e plastificação",3,NR-4 2023
18300,1830-0/01,Reprodução de som em qualquer suporte,1,NR-4 2023
18300,1830-0/02,Reprodução de vídeo em qualquer suporte,1,NR-4 2023
18300,1830-0/03,Reprodução de software em qualquer suporte,1,NR-4 2023
19101,1910-1/00,Coquerias,2,NR-4 2023
19217,1921-7/00,Fabricação de produtos do refino de petróleo,3,NR-4 2023
19225,1922-5/01,Formulação de combustíveis,3,NR-4 2023
19225,1922-5/02,Rerrefino de óleos lubrificantes,3,NR-4 2023
19225,1922-5/99,"Fabricação de outros produtos derivados do petróleo, exceto produtos do refino",3,NR-4 2023
19314,1931-4/00,Fabricação de álcool,3,NR-4 2023
19322,1932-2/00,"Fabricação de biocombustíveis, exceto álcool",1,NR-4 2023
20118,2011-8/00,Fabricação de cloro e álcalis,3,NR-4 2023
20126,2012-6/00,Fabricação de intermediários para fertilizantes,3,NR-4 2023
20134,2013-4/01,Fabricação de adubos e fertilizantes organo-minerais,3,NR-4 2023
20134,2013-4/02,"Fabricação de adubos e fertilizantes, exceto organo-minerais",3,NR-4 2023
20142,2014-2/00,Fabricação de gases industriais,3,NR-4 2023
20193,2019-3/01,Elaboração de combustíveis nucleares,2,NR-4 2023
20193,2019-3/99,Fabricação de outros produtos químicos inorgânicos não especificados anteriormente,2,NR-4 2023
20215,2021-5/00,Fabricação de produtos petroquímicos básicos,3,NR-4 2023
20223,2022-3/00,"Fabricação de intermediários para plastificantes, resinas e fibras",3,NR-4 2023
20291,2029-1/00,Fabricação de produtos químicos orgânicos não especificados anteriormente,3,NR-4 2023
20312,2031-2/00,Fabricação de resinas termoplásticas,3,NR-4 2023
20321,2032-1/00,Fabricação de resinas termofixas,3,NR-4 2023
20339,2033-9/00,Fabricação de elastômeros,4,NR-4 2023
20401,2040-1/00,Fabricação de fibras artificiais e sintéticas,3,NR-4 2023
20517,2051-7/00,Fabricação de defensivos agrícolas,3,NR-4 2023
20525,2052-5/00,Fabricação de desinfestantes domissanitários,3,NR-4 2023
20614,2061-4/00,Fabricação de sabões e detergentes sintéticos,3,NR-4 2023
20622,2062-2/00,Fabricação de produtos de limpeza e polimento,3,NR-4 2023
20631,2063-1/00,"Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal",2,NR-4 2023
20711,2071-1/00,"Fabricação de tintas, vernizes, esmaltes e lacas",3,NR-4 2023
20720,2072-0/00,Fabricação de tintas de impressão,3,NR-4 2023
20738,2073-8/00,"Fabricação de impermeabilizantes, solventes e produtos afins",3,NR-4 2023
20916,2091-6/00,Fabricação de adesivos e selantes,3,NR-4 2023
20924,2092-4/01,"Fabricação de pólvoras, explosivos e detonantes",4,NR-4 2023
20924,2092-4/02,Fabricação de artigos pirotécnicos,4,NR-4 2023
20924,2092-4/03,Fabricação de fósforos de segurança,4,NR-4 2023
20932,2093-2/00,Fabricação de aditivos de uso industrial,3,NR-4 2023
20941,2094-1/00,Fabricação de catalisadores,3,NR-4 2023
20991,2099-1/01,"Fabricação de chapas, filmes, papéis e outros materiais e produtos químicos para fotografia",3,NR-4 2023
20991,2099-1/99,Fabricação de outros produtos químicos não especificados anteriormente,3,NR-4 2023
21106,2110-6/00,Fabricação de produtos farmoquímicos,2,NR-4 2023
21211,2121-1/01,Fabricação de medicamentos alopáticos para uso humano,3,NR-4 2023
21211,2121-1/02,Fabricação de medicamentos homeopáticos para uso humano,3,NR-4 2023
21211,2121-1/03,Fabricação de medicamentos fitoterápicos para uso humano,3,NR-4 2023
21220,2122-0/00,Fabricação de medicamentos para uso veterinário,3,NR-4 2023
21238,2123-8/00,Fabricação de preparações farmacêuticas,1,NR-4 2023
22111,2211-1/00,Fabricação de pneumáticos e de câmaras-de-ar,3,NR-4 2023
22129,2212-9/00,Reforma de pneumáticos usados,3,NR-4 2023
22196,2219-6/00,"Fabricação de artefatos de borracha não especificados 
anteriormente",2,NR-4 2023
22218,2221-8/00,Fabricação de laminados planos e tubulares de material plástico,3,NR-4 2023
22226,2222-6/00,Fabricação de embalagens de material plástico,3,NR-4 2023
22234,2223-4/00,Fabricação de tubos e acessórios de material plástico para uso na construção,3,NR-4 2023
22293,2229-3/01,Fabricação de artefatos de material plástico para uso pessoal e doméstico,1,NR-4 2023
22293,2229-3/02,Fabricação de artefatos de material plástico para usos industriais,1,NR-4 2023
22293,2229-3/03,"Fabricação de artefatos de material plástico para uso na construção, exceto tubos e acessórios",1,NR-4 2023
22293,2229-3/99,Fabricação de artefatos de material plástico para outros usos não especificados anteriormente,1,NR-4 2023
23117,2311-7/00,Fabricação de vidro plano e de segurança,3,NR-4 2023
23125,2312-5/00,Fabricação de embalagens de vidro,3,NR-4 2023
23192,2319-2/00,Fabricação de artigos de vidro,2,NR-4 2023
23206,2320-6/00,Fabricação de cimento,3,NR-4 2023
23303,2330-3/01,"Fabricação de estruturas pré-moldadas de concreto armado, em série e sob encomenda",4,NR-4 2023
23303,2330-3/02,Fabricação de artefatos de cimento para uso na construção,4,NR-4 2023
23303,2330-3/03,Fabricação de artefatos de fibrocimento para uso na construção,4,NR-4 2023
23303,2330-3/04,Fabricação de casas pré-moldadas de concreto,4,NR-4 2023
23303,2330-3/05,Preparação de massa de concreto e argamassa para construção,4,NR-4 2023
23303,2330-3/99,"Fabricação de outros artefatos e produtos de concreto, cimento, fibrocimento, gesso e materiais semelhantes",4,NR-4 2023
23419,2341-9/00,Fabricação de produtos cerâmicos refratários,4,NR-4 2023
23427,2342-7/01,Fabricação de azulejos e pisos,3,NR-4 2023
23427,2342-7/02,"Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos",3,NR-4 2023
23494,2349-4/01,Fabricação de material sanitário de cerâmica,4,NR-4 2023
23494,2349-4/99,Fabricação de produtos cerâmicos não refratários não especificados anteriormente,4,NR-4 2023
23915,2391-5/01,"Britamento de pedras, exceto associado à extração",3,NR-4 2023
23915,2391-5/02,"Aparelhamento de pedras para construção, exceto associado à extração",3,NR-4 2023
23915,2391-5/03,"Aparelhamento de placas e execução de trabalhos em mármore, granito, ardósia e outras pedras",3,NR-4 2023
23923,2392-3/00,Fabricação de cal e gesso,4,NR-4 2023
